I,C,O,N,S, ,T,O,A,D,S, ,B,O,A
M,?,N,I,C, ,O,W,L,E,T, ,R,U,B
F,R,E,E,A,N,D,E,A,S,Y, ,E,N,E
 , , ,C,R,E,O,N, ,A,L,P,A,C,A
A,?,?,E,L,U,S, ,P,L,E,A,D,E,D
P,?,?,S,E,R, ,H,O,T,T,U,B, , 
I,L,O, ,T,A,C,O,S, ,S,L,A,T,S
S,L,U,M, ,L,O,?,S,E, ,A,S,H,E
H,O,N,O,R, ,L,E,E,R,S, ,K,E,L
 , ,D,R,A,F,T,Y, ,M,A,K,E,M,E
R,?,?,A,T,O,S, ,L,I,T,O,T,E,S
I,N,A,N,E,R, ,S,I,N,E,W, , , 
N,?,?, ,C,A,M,P,M,E,E,T,I,?,?
S,O,L, ,A,G,A,I,N, ,N,O,V,A,E
E,N,S, ,P,E,S,T,S, ,S,W,E,?,?
